C1	18.81	10.92	0.00		C0603
C10	6.99	17.14	180.00		C0603
C11	17.78	20.32	270.00		1206
C12	9.53	6.35	0.00		C0603
C2	12.83	11.05	270.00		C0603
C3	10.79	8.26	180.00		C0603
C4	19.18	3.81	90.00	1u	C0603
C5	23.37	6.99	90.00		C0603
C6	22.35	14.73	270.00		C0603
C7	19.18	6.86	270.00	1u	C0603
C8	2.54	20.19	270.00		1206
C9	10.16	20.32	90.00		1206
IC1	22.86	10.92	270.00		QFN12-3X3
IC2	6.35	20.32	180.00	LM2776	SOT23-6
IC3	13.97	20.32	0.00	MIC5270-3.3	SOT23-5
R1	21.21	6.86	270.00	75k	R0603
R2	10.79	14.61	0.00		R0603
R3	17.02	6.86	90.00	1k	R0603
R4	14.73	6.86	270.00	1k	R0603
R6	26.04	8.26	270.00	49.9	R0603
U$28	3.04	6.35	270.00		USB_MICRO_LEGS_2
U$6	10.16	11.43	0.00	74LVC1G14	SOT23-5
